Date,DOMESTIC
Jan-2003,43032450.00
Feb-2003,41166780.00
Mar-2003,49992700.00
Apr-2003,47033260.00
May-2003,49152352.00
Jun-2003,52209516.00
Jul-2003,55810773.00
Aug-2003,53920973.00
Sep-2003,44213408.00
Oct-2003,49944935.00
Nov-2003,47059495.00
Dec-2003,49757124.00
Jan-2004,43815481.00
Feb-2004,45306644.00
Mar-2004,54147227.00
Apr-2004,53253194.00
May-2004,53030873.00
Jun-2004,56959142.00
Jul-2004,59614287.00
Aug-2004,57380873.00
Sep-2004,47671785.00
Oct-2004,54167489.00
Nov-2004,51782564.00
Dec-2004,52640057.00
Jan-2005,47977657.00
Feb-2005,47074882.00
Mar-2005,58838975.00
Apr-2005,54908859.00
May-2005,57323876.00
Jun-2005,59724061.00
Jul-2005,62396446.00
Aug-2005,59110633.00
Sep-2005,50600325.00
Oct-2005,53738093.00
Nov-2005,52766404.00
Dec-2005,52801276.00
Jan-2006,48886043.00
Feb-2006,47348142.00
Mar-2006,58286011.00
Apr-2006,55828555.00
May-2006,57145193.00
Jun-2006,59297121.00
Jul-2006,60838606.00
Aug-2006,58303233.00
Sep-2006,49949551.00
Oct-2006,55088986.00
Nov-2006,53852209.00
Dec-2006,53538970.00
Jan-2007,50022168.00
Feb-2007,47766421.00
Mar-2007,59244232.00
Apr-2007,57398267.00
May-2007,59285571.00
Jun-2007,61493934.00
Jul-2007,63457403.00
Aug-2007,62660179.00
Sep-2007,52310402.00
Oct-2007,57208618.00
Nov-2007,55047116.00
Dec-2007,53291139.00
Jan-2008,50245100.00
Feb-2008,50118363.00
Mar-2008,59213077.00
Apr-2008,55611053.00
May-2008,58047400.00
Jun-2008,59559171.00
Jul-2008,61401480.00
Aug-2008,58966473.00
Sep-2008,47680101.00
Oct-2008,52956023.00
Nov-2008,47658141.00
Dec-2008,50253800.00
Jan-2009,44825056.00
Feb-2009,43680328.00
Mar-2009,53534891.00
Apr-2009,52247781.00
May-2009,52951246.00
Jun-2009,55898027.00
Jul-2009,59468957.00
Aug-2009,56568180.00
Sep-2009,48235025.00
Oct-2009,52279405.00
Nov-2009,48584832.00
Dec-2009,49793527.00
Jan-2010,45501620.00
Feb-2010,42440614.00
Mar-2010,54424077.00
Apr-2010,52498074.00
May-2010,53842422.00
Jun-2010,56689853.00
Jul-2010,59142493.00
Aug-2010,57370748.00
Sep-2010,50304708.00
Oct-2010,54826050.00
Nov-2010,51420519.00
Dec-2010,51076415.00
Jan-2011,46305000.00
Feb-2011,43657818.00
Mar-2011,55649428.00
Apr-2011,52858479.00
May-2011,55982234.00
Jun-2011,57778699.00
Jul-2011,60310568.00
Aug-2011,57403835.00
Sep-2011,50982170.00
Oct-2011,54124363.00
Nov-2011,51660083.00
Dec-2011,51534990.00
Jan-2012,47080840.00
Feb-2012,46405385.00
Mar-2012,56200391.00
Apr-2012,53691570.00
May-2012,55749349.00
Jun-2012,57903293.00
Jul-2012,59688267.00
Aug-2012,58646304.00
Sep-2012,50134504.00
Oct-2012,53779646.00
Nov-2012,51844482.00
Dec-2012,51165451.00
Jan-2013,47816859.00
Feb-2013,45740158.00
Mar-2013,56564538.00
Apr-2013,53228575.00
May-2013,56562929.00
Jun-2013,57990789.00
Jul-2013,59310478.00
Aug-2013,58115405.00
Sep-2013,50766098.00
Oct-2013,54706246.00
Nov-2013,50542543.00
Dec-2013,54332936.00
Jan-2014,47957371.00
Feb-2014,45513184.00
Mar-2014,57762170.00
Apr-2014,55247482.00
May-2014,57888637.00
Jun-2014,59262095.00
Jul-2014,61757698.00
Aug-2014,59758814.00
Sep-2014,52529472.00
Oct-2014,57084923.00
Nov-2014,52578037.00
Dec-2014,55487072.00
Jan-2015,49727992.00
Feb-2015,47164898.00
Mar-2015,59557626.00
Apr-2015,57698342.00
May-2015,60252607.00
Jun-2015,61811276.00
Jul-2015,65129348.00
Aug-2015,62770806.00
Sep-2015,55989599.00
Oct-2015,60892617.00
Nov-2015,57150828.00
Dec-2015,57870955.00
Jan-2016,52474245.00
Feb-2016,51111616.00
Mar-2016,61593610.00
Apr-2016,58894278.00
May-2016,62752723.00
Jun-2016,64757943.00
Jul-2016,66135126.00
Aug-2016,63498615.00
Sep-2016,58620581.00
Oct-2016,61709421.00
Nov-2016,59269837.00
Dec-2016,59178833.00
Jan-2017,54109329.00
Feb-2017,51078172.00
Mar-2017,63963808.00
Apr-2017,61099004.00
May-2017,64442977.00
Jun-2017,66746463.00
Jul-2017,68575481.00
Aug-2017,66664019.00
Sep-2017,57144508.00
Oct-2017,64625405.00
Nov-2017,61911765.00
Dec-2017,61374167.00
Jan-2018,55831159.00
Feb-2018,54078219.00
Mar-2018,66644135.00
Apr-2018,64557780.00
May-2018,67846119.00
Jun-2018,70279158.00
Jul-2018,72540389.00
Aug-2018,70338563.00
Sep-2018,60468575.00
Oct-2018,67082086.00
Nov-2018,64660022.00
Dec-2018,63646582.00
Jan-2019,58034262.00
Feb-2019,55679481.00
Mar-2019,70234129.00
Apr-2019,66938654.00
May-2019,71364145.00
Jun-2019,72790418.00
Jul-2019,75281916.00
Aug-2019,72729199.00
Sep-2019,63991365.00
Oct-2019,69936836.00
Nov-2019,64827417.00
Dec-2019,69737438.00
Jan-2020,61626555.00
Feb-2020,59861451.00
Mar-2020,34417694.00
Apr-2020,2879712.00
May-2020,7861491.00
Jun-2020,16132885.00
Jul-2020,22922158.00
Aug-2020,23910774.00
Sep-2020,23854772.00
Oct-2020,28027209.00
Nov-2020,26294514.00
Dec-2020,27264199.00
Jan-2021,24305904.00
Feb-2021,24482882.00
Mar-2021,39312542.00
Apr-2021,43800484.00
May-2021,52513857.00
